"Deeplink";"Produkt-Titel";"Produktbeschreibung";"Produktbeschreibung lang";"Preis (Brutto)";"Preis (Netto)";"Währung";"europäische Artikelnummer EAN";"Anbieter Artikelnummer AAN";"Hersteller";"Hersteller Artikelnummer HAN";"Produktbild-URL";"Vorschaubild-URL";"Produktkategorie";"Versandkosten Allgemein";"Versandkosten Vorkasse";"Versandkosten Nachnahme";"Versandkosten Kreditkarte";"Versandkosten Lastschrift";"Versandkosten Rechnung";"Versandkosten PayPal";"Versandkosten Sofortüberweisung";"Lieferzeit/Verfügbarkeit";"base_price";"unit_pricing_base_measure";"unit_pricing_measure";"ext_Nettopreis";"ext_Hersteller";"ext_Herstellerartikelnummer HAN";"ext_Produktkategorie ID"
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fhtc%2Foriginalakku-fuer-htc-sensation-sensationxe-ba-s780-35h00157-06m%3FsPartner%3Dadcell";"Originalakku für HTC Sensation SensationXE BA-S780 35H00157-06M";"Originalakku für HTC Sensation HTC SensationXE  BA-S780 35H00157-06M Li-Ion  3,8V  1730mAh";"Originalakku für HTC Sensation HTC SensationXE  BA-S780 35H00157-06M Li-Ion  3,8V  1730mAh";"18,90";"";"Euro";"4710937367003";"18620";"";"";"https://akkuwelt.de/media/image/2c/c0/e8/2_4788_lrg56a62fe6abfb5_1280x1280.jpg";"https://akkuwelt.de/media/image/2c/c0/e8/2_4788_lrg56a62fe6abfb5_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>HTC";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fmedion-lg%2Foriginalakku-fuer-lg-lgip-580n-gc900-gt400-viewty-gt600%3FsPartner%3Dadcell";"Originalakku für LG LGIP-580N GC900 GT400 Viewty GT600";"Originalakku für LG LGIP-580N GC900   GT400 Viewty GT600 Li-Ion  3,7V  1000mAh";"Originalakku für LG LGIP-580N GC900   GT400 Viewty GT600 Li-Ion  3,7V  1000mAh";"15,90";"";"Euro";"4038338224511";"18914";"";"";"https://akkuwelt.de/media/image/3d/97/e2/8e6bd93a2e0bc6be3689305649295b28_1280x1280.jpg";"https://akkuwelt.de/media/image/3d/97/e2/8e6bd93a2e0bc6be3689305649295b28_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>MEDION / LG";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fnokia%2Foriginalakku-nokia-bp-5z-700-n700-zeta%3FsPartner%3Dadcell";"Originalakku Nokia BP-5Z 700 N700 Zeta";"Originalakku Nokia 700 N700 Zeta baugl. org. Hersteller-Bez.: BP-5Z Li-Ion  3,7V  1080mAh";"Originalakku Nokia 700 N700 Zeta baugl. org. Hersteller-Bez.: BP-5Z Li-Ion  3,7V  1080mAh";"18,90";"";"Euro";"4038338195903";"19590";"";"";"https://akkuwelt.de/media/image/4d/74/94/2_4185_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/4d/74/94/2_4185_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>NOKIA";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fblackberry%2Foriginalakku-fuer-blackberry-l-s1-z10-4g-lte%3FsPartner%3Dadcell";"Originalakku für Blackberry L-S1 Z10 4G LTE";"Originalakku für Blackberry L-S1 Z10 4G LTE BBSTL10-4 RFH12LW ACC-51546-201 Li-Ion  3,8V  1800mAh";"Originalakku für Blackberry L-S1 Z10 4G LTE BBSTL10-4 RFH12LW ACC-51546-201 Li-Ion  3,8V  1800mAh";"16,90";"";"Euro";"4038338199475";"36423";"";"";"https://akkuwelt.de/media/image/fa/1c/dd/e2199246bd7cd4eb6bd04ab0b7a44025_p1-1_1280x1280.jpg";"https://akkuwelt.de/media/image/fa/1c/dd/e2199246bd7cd4eb6bd04ab0b7a44025_p1-1_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>BLACKBERRY";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fhtc%2Foriginalakku-fuer-htc-one-v-bk76100-35h00192-01m-one-5%3FsPartner%3Dadcell";"Originalakku für HTC One V BK76100 35H00192-01M One 5";"Originalakku für HTC One V baugl. org. Hersteller-Bez.: BK76100 35H00192-01M Li-Ion  3,8V  1500mAh";"Originalakku für HTC One V baugl. org. Hersteller-Bez.: BK76100 35H00192-01M Li-Ion  3,8V  1500mAh";"24,90";"";"Euro";"4038338250671";"25067";"";"";"https://akkuwelt.de/media/image/33/7f/94/2_4191_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/33/7f/94/2_4191_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>HTC";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fhtc%2Foriginalakku-fuer-htc-cha-cha-ba-s570-35h00155-02m%3FsPartner%3Dadcell";"Originalakku für HTC Cha Cha BA S570 35H00155-02M";"Original Akku HTC Cha Cha BA S570 BA-S570  35H00155-02M Li-Ion  3,7V  1250mAh";"Original Akku HTC Cha Cha BA S570 BA-S570  35H00155-02M Li-Ion  3,7V  1250mAh";"18,90";"";"Euro";"4710937352856";"25755";"";"";"https://akkuwelt.de/media/image/56/99/39/2_4777_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/56/99/39/2_4777_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>HTC";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fsamsung%2Foriginal-akku-fuer-samsung-galaxy-ace-duos-plus-eb464358vu%3FsPartner%3Dadcell";"Original Akku für Samsung Galaxy Ace Duos Plus EB464358VU";"Original Akku Samsung Galaxy Ace Duos Ace Plus EB464358VU Li-Ion  3,7V  mind. 1300mAh";"Original Akku Samsung Galaxy Ace Duos Ace Plus EB464358VU Li-Ion  3,7V  mind. 1300mAh";"17,90";"";"Euro";"4250407287245";"98203250x1";"";"";"https://akkuwelt.de/media/image/a8/bb/98/0_4506_img_1280x1280.jpg";"https://akkuwelt.de/media/image/a8/bb/98/0_4506_img_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>SAMSUNG";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fsamsung%2Foriginal-akku-fuer-samsung-galaxy-mini-2-galaxy-y-ace-plus-gt-s7500%3FsPartner%3Dadcell";"Original Akku für Samsung Galaxy mini 2 Galaxy Y Ace Plus GT-S7500";"Original Akku Samsung Galaxy Mini 2 GT-S6102 GT-S6500 GT-S6802 GT-S7500 Galaxy Y Duos Galaxy Ace Plus EB464358VU Li-Ion  3,7V  mind. 1300mAh";"Original Akku Samsung Galaxy Mini 2 GT-S6102 GT-S6500 GT-S6802 GT-S7500 Galaxy Y Duos Galaxy Ace Plus EB464358VU Li-Ion  3,7V  mind. 1300mAh";"17,90";"";"Euro";"4250407287245";"98203250";"";"";"https://akkuwelt.de/media/image/f5/7e/b0/0_4506_img56a62dbfe2705_1280x1280.jpg";"https://akkuwelt.de/media/image/f5/7e/b0/0_4506_img56a62dbfe2705_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>SAMSUNG";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fmedion-lg%2Foriginal-akku-lg-optimus-l7-p700-bl-44jh%3FsPartner%3Dadcell";"Original Akku LG Optimus L7 P700 BL-44JH";"Original Akku für LG Optimus L7 P700 baugl. org. Hersteller-Bez.: BL-44JH Li-Ion  3,8V  1700mAh";"Original Akku für LG Optimus L7 P700 baugl. org. Hersteller-Bez.: BL-44JH Li-Ion  3,8V  1700mAh";"16,90";"";"Euro";"4021499050914";"30333";"";"";"https://akkuwelt.de/media/image/d6/f6/59/2_4804_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/d6/f6/59/2_4804_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>MEDION / LG";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fmedion-lg%2Foriginal-akku-lg-bl-53qh-p880-optimus-4x-hd-p760-optimus-l9%3FsPartner%3Dadcell";"Original Akku LG BL-53QH P880 Optimus 4X HD P760 Optimus L9";"Original Akku für LG P880 Optimus 4X HD P760 Optimus L9 BL-53QH Li-Ion  3,8V  2150mAh";"Original Akku für LG P880 Optimus 4X HD P760 Optimus L9 BL-53QH Li-Ion  3,8V  2150mAh";"19,90";"";"Euro";"4260316366344";"31738";"";"";"https://akkuwelt.de/media/image/47/85/06/2_4800_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/47/85/06/2_4800_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>MEDION / LG";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
